structure,vacancy_label,coordination_type,number_of_ga_atoms,ga_atom_numbers,fermi_energy_eV,energy_absolute_eV,energy_minus_fermi_eV,ga_s_pdos,ga_p_pdos,ga_d_pdos
vacancy_O2,O2 vacancy,tetrahedral,1,17,5.53521391,-13.3416,-18.87681391,0.1019,0.060200000000000004,0.14579999999999999
vacancy_O2,O2 vacancy,tetrahedral,1,17,5.53521391,-13.3245,-18.85971391,0.0993,0.0643,0.1628
vacancy_O2,O2 vacancy,tetrahedral,1,17,5.53521391,-13.3075,-18.84271391,0.0956,0.06939999999999999,0.18409999999999999
vacancy_O2,O2 vacancy,tetrahedral,1,17,5.53521391,-13.2905,-18.82571391,0.0903,0.0749,0.20879999999999999
vacancy_O2,O2 vacancy,tetrahedral,1,17,5.53521391,-13.2734,-18.808613910000002,0.0834,0.0807,0.23450000000000001
vacancy_O2,O2 vacancy,tetrahedral,1,17,5.53521391,-13.2564,-18.79161391,0.0749,0.0854,0.2577
vacancy_O2,O2 vacancy,tetrahedral,1,17,5.53521391,-13.2394,-18.77461391,0.0652,0.0881,0.2744
vacancy_O2,O2 vacancy,tetrahedral,1,17,5.53521391,-13.2223,-18.75751391,0.0547,0.088,0.28099999999999997
vacancy_O2,O2 vacancy,tetrahedral,1,17,5.53521391,-13.2053,-18.74051391,0.0442,0.0842,0.2751
vacancy_O2,O2 vacancy,tetrahedral,1,17,5.53521391,-13.1883,-18.72351391,0.0342,0.07730000000000001,0.2566
vacancy_O2,O2 vacancy,tetrahedral,1,17,5.53521391,-13.1712,-18.706413910000002,0.0253,0.0675,0.2273
vacancy_O2,O2 vacancy,tetrahedral,1,17,5.53521391,-13.1542,-18.68941391,0.0179,0.056100000000000004,0.19119999999999998
vacancy_O2,O2 vacancy,tetrahedral,1,17,5.53521391,-13.1371,-18.67231391,0.012,0.0443,0.1522
vacancy_O2,O2 vacancy,tetrahedral,1,17,5.53521391,-13.1201,-18.65531391,0.0077,0.0331,0.11499999999999999
vacancy_O2,O2 vacancy,tetrahedral,1,17,5.53521391,-13.1031,-18.63831391,0.0048,0.023700000000000002,0.0826
vacancy_O2,O2 vacancy,tetrahedral,1,17,5.53521391,-13.086,-18.62121391,0.003,0.016300000000000002,0.0571
vacancy_O2,O2 vacancy,tetrahedral,1,17,5.53521391,-13.069,-18.604213910000002,0.002,0.011099999999999999,0.039599999999999996
vacancy_O2,O2 vacancy,tetrahedral,1,17,5.53521391,-13.052,-18.58721391,0.0018,0.0082,0.030199999999999998
vacancy_O2,O2 vacancy,tetrahedral,1,17,5.53521391,-13.0349,-18.57011391,0.0023,0.007599999999999999,0.029099999999999997
vacancy_O2,O2 vacancy,tetrahedral,1,17,5.53521391,-13.0179,-18.55311391,0.0036,0.0092,0.0363
vacancy_O2,O2 vacancy,tetrahedral,1,17,5.53521391,-13.0008,-18.53601391,0.0057,0.013199999999999998,0.0529
